school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G1_scale,G2_scale,G3_scale,subject,GT_scale,G1_scale_rank,G2_scale_rank,G3_scale_rank,GT_scale_rank,G1_scale_rank_bin,G2_scale_rank_bin,G3_scale_rank_bin,GT_scale_rank_bin
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,-1.7824668774646413,-1.254791054106298,-0.9649339151210796,math,-1.399257326668424,1019,969,919,961,9,8,7,8
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,-1.7824668774646413,-1.520979274499417,-0.9649339151210796,math,-1.492322784778774,1019,983,919,975,9,8,7,8
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,-1.179146897517312,-0.7224146133200599,-0.0907391984402851,math,-0.6965536563889724,883,804,558,805,7,7,5,7
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,1.2341330222720055,0.8747147090386544,1.0020041974107081,math,1.0876246117591322,123,166,123,146,3,3,3,3
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,-1.4808068874909766,-0.19003817253382177,-0.0907391984402851,math,-0.6158899359705564,962,522,558,785,8,5,5,6
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,1.2341330222720055,1.1409029294317736,1.0020041974107081,math,1.1806900698694824,123,132,123,135,3,3,3,3
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,0.3291530523510115,0.34233826825241637,0.12780948072991352,math,0.27945374567739617,353,360,439,396,4,4,5,4
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,-1.4808068874909766,-1.520979274499417,-0.9649339151210796,math,-1.3868555889764895,962,983,919,957,8,8,7,8
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,1.5357930122456702,1.9394675906111307,1.8761989140915025,math,1.8709920024569995,66,19,19,39,2,1,1,1
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,0.9324730322983409,1.1409029294317736,1.0020041974107081,math,1.075222874067198,218,132,123,163,3,3,3,3
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,1,2,2,0,10,8,9,-0.2741669275963179,-0.7224146133200599,-0.3092878776104837,math,-0.4565616595956646,600,804,718,700,5,7,6,6
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,-0.2741669275963179,0.34233826825241637,0.34635815990011215,math,0.14492894468637282,600,360,326,454,5,4,4,5
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14,14,14,0.9324730322983409,0.8747147090386544,0.7834555182405094,math,0.9057478253433021,218,166,205,198,3,3,3,3
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,5,4,3,1,2,3,2,10,10,11,-0.2741669275963179,-0.19003817253382177,0.12780948072991352,math,-0.11761156214787305,600,522,439,565,5,5,5,5
