school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_x,G1_math,G2_math,G3_math,GT_math,G1_scale_math,G2_scale_math,G3_scale_math,GT_scale_math,G1_math_rank,G2_math_rank,G3_math_rank,GT_math_rank,G1_math_rank_bin,G2_math_rank_bin,G3_math_rank_bin,GT_math_rank_bin,absences_y,G1_port,G2_port,G3_port,GT_port,G1_scale_port,G2_scale_port,G3_scale_port,GT_scale_port,G1_port_rank,G2_port_rank,G3_port_rank,GT_port_rank,G1_port_rank_bin,G2_port_rank_bin,G3_port_rank_bin,GT_port_rank_bin
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,17,0.125,0.3157894736842105,0.30000000000000004,0.23090705487122062,387,353,335,353,9,8,7,8,4,0,11,11,22,0.0,0.5789473684210527,0.5789473684210527,0.3461538461538462,649,319,349,609,9,5,5,8
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,16,0.125,0.2631578947368421,0.30000000000000004,0.212989921612542,387,367,335,358,9,8,7,8,2,9,11,11,31,0.47368421052631576,0.5789473684210527,0.5789473684210527,0.5192307692307692,493,319,349,422,6,5,5,6
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,35,0.5625,0.631578947368421,0.55,0.5724524076147816,129,128,163,153,4,4,5,4,0,13,12,13,38,0.6842105263157894,0.631578947368421,0.6842105263157894,0.6538461538461537,153,233,195,214,4,4,4,4
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,17,0.1875,0.2631578947368421,0.30000000000000004,0.23426651735722284,363,367,335,353,8,8,7,8,2,10,13,13,36,0.5263157894736842,0.6842105263157894,0.6842105263157894,0.6153846153846154,398,153,195,277,6,4,4,5
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,34,0.4375,0.631578947368421,0.6000000000000001,0.5469204927211646,203,128,132,167,5,4,4,5,0,10,12,13,35,0.5263157894736842,0.631578947368421,0.6842105263157894,0.5961538461538463,398,233,195,306,6,4,4,5
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,46,0.6875,0.8421052631578947,0.8,0.7717805151175811,66,21,25,35,3,2,2,2,0,14,14,15,43,0.7368421052631579,0.7368421052631579,0.7894736842105263,0.75,82,99,83,108,3,3,3,3
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,42,0.6875,0.7368421052631579,0.7000000000000001,0.7019036954087347,66,68,74,75,3,3,3,3,6,17,17,17,51,0.894736842105263,0.894736842105263,0.894736842105263,0.903846153846154,9,16,18,20,1,1,1,1
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,28,0.3125,0.5263157894736842,0.5,0.4344904815229563,285,204,210,243,6,5,5,6,2,13,14,14,41,0.6842105263157894,0.7368421052631579,0.7368421052631579,0.7115384615384617,153,99,132,138,4,3,3,3
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,42,0.625,0.7368421052631579,0.75,0.6976483762597984,96,68,41,75,4,3,2,3,0,12,13,14,39,0.631578947368421,0.6842105263157894,0.7368421052631579,0.6730769230769231,225,153,132,181,4,4,3,4
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,42,0.5625,0.7894736842105263,0.75,0.6942889137737962,129,34,41,75,4,2,2,3,0,11,12,12,35,0.5789473684210527,0.631578947368421,0.631578947368421,0.5961538461538463,307,233,277,306,5,4,5,5
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,46,0.75,0.7894736842105263,0.8,0.7751399776035834,42,34,25,35,2,2,2,2,0,12,13,14,39,0.631578947368421,0.6842105263157894,0.7368421052631579,0.6730769230769231,225,153,132,181,4,4,3,4
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,38,0.625,0.6842105263157894,0.6000000000000001,0.6286674132138858,96,91,132,115,4,4,4,4,2,10,10,10,30,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5,398,422,453,451,6,6,6,6
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,33,0.4375,0.631578947368421,0.55,0.5298992161254199,203,128,163,180,5,4,5,5,4,12,11,12,35,0.631578947368421,0.5789473684210527,0.631578947368421,0.5961538461538463,225,319,277,306,4,5,5,5
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,32,0.375,0.5789473684210527,0.6000000000000001,0.5077267637178051,254,169,132,193,6,5,4,5,0,10,11,11,32,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5384615384615385,398,319,349,385,6,5,5,5
