school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1_port,G2_port,G3_port,GT_port,G1_scale_port,G2_scale_port,G3_scale_port,GT_scale_port,G1_scale_port,G2_scale_port,G3_scale_port,GT_scale_port,G1_port_rank,G2_port_rank,G3_port_rank,GT_port_rank,G1_port_rank_bin,G2_port_rank_bin,G3_port_rank_bin,GT_port_rank_bin
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,4,0,11,11,22,-4.155470294933876,-0.1958196099225682,-0.28065754712216395,-1.6155935589185166,-4.155470294933876,-0.1958196099225682,-0.28065754712216395,-1.6155935589185166,649,319,349,609,9,5,5,8
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,2,9,11,11,31,-0.874569782267105,-0.1958196099225682,-0.28065754712216395,-0.47123650593583233,-0.874569782267105,-0.1958196099225682,-0.28065754712216395,-0.47123650593583233,493,319,349,422,6,5,5,6
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,2,2,3,3,6,12,13,12,37,0.21906372195515192,0.4911367513733601,0.029115833970156463,0.2578687855288449,0.21906372195515192,0.4911367513733601,0.029115833970156463,0.2578687855288449,225,153,277,239,4,4,5,4
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,0,14,14,14,42,0.9481527247699899,0.8346149320213242,0.6486625961547973,0.8480672754483353,0.9481527247699899,0.8346149320213242,0.6486625961547973,0.8480672754483353,82,99,132,123,3,3,3,3
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,2,1,2,5,0,11,13,13,37,-0.14548077945226706,0.4911367513733601,0.3388892150624769,0.2387649701006225,-0.14548077945226706,0.4911367513733601,0.3388892150624769,0.2387649701006225,307,153,195,239,5,4,4,4
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,1,2,5,6,12,12,13,37,0.21906372195515192,0.14765857072539595,0.3388892150624769,0.24611276764840084,0.21906372195515192,0.14765857072539595,0.3388892150624769,0.24611276764840084,225,233,195,239,4,4,4,4
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,13,12,13,38,0.5836082233625709,0.14765857072539595,0.3388892150624769,0.37326355131314365,0.5836082233625709,0.14765857072539595,0.3388892150624769,0.37326355131314365,153,233,195,214,4,4,4,4
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,2,10,13,13,36,-0.510025280859686,0.4911367513733601,0.3388892150624769,0.11161418643587978,-0.510025280859686,0.4911367513733601,0.3388892150624769,0.11161418643587978,398,153,195,277,6,4,4,5
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,1,1,0,15,16,17,48,1.3126972261774088,1.5215712933172525,1.5779827394317587,1.538964936056568,1.3126972261774088,1.5215712933172525,1.5779827394317587,1.538964936056568,47,36,18,36,2,2,1,2
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,5,1,1,1,5,0,12,12,13,37,0.21906372195515192,0.14765857072539595,0.3388892150624769,0.24611276764840084,0.21906372195515192,0.14765857072539595,0.3388892150624769,0.24611276764840084,225,233,195,239,4,4,4,4
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,1,2,2,2,14,14,14,42,0.9481527247699899,0.8346149320213242,0.6486625961547973,0.8480672754483353,0.9481527247699899,0.8346149320213242,0.6486625961547973,0.8480672754483353,82,99,132,123,3,3,3,3
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,35,-0.510025280859686,0.14765857072539595,0.3388892150624769,-0.008188799681084585,-0.510025280859686,0.14765857072539595,0.3388892150624769,-0.008188799681084585,398,233,195,306,6,4,4,5
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12,37,0.21906372195515192,0.4911367513733601,0.029115833970156463,0.2578687855288449,0.21906372195515192,0.4911367513733601,0.029115833970156463,0.2578687855288449,225,153,277,239,4,4,5,4
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,37,0.21906372195515192,0.14765857072539595,0.3388892150624769,0.24611276764840084,0.21906372195515192,0.14765857072539595,0.3388892150624769,0.24611276764840084,225,233,195,239,4,4,4,4
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15,43,0.9481527247699899,0.8346149320213242,0.9584359772471177,0.9561142436848555,0.9481527247699899,0.8346149320213242,0.9584359772471177,0.9561142436848555,82,99,83,108,3,3,3,3
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17,51,2.041786228992247,1.8650494739652166,1.5779827394317587,1.913069489503018,2.041786228992247,1.8650494739652166,1.5779827394317587,1.913069489503018,9,16,18,20,1,1,1,1
